scope,market,edge_cutoff,bets,wins,losses,pushes,win_pct,roi_pct_at_minus_110,wilson_95_low_pct,weeks_0_7_roi_pct,weeks_8_plus_roi_pct
All,Under,11.5,5,4,1,0,80.0,52.73,37.55,52.73,0.0
All,Under,12.0,4,4,0,0,100.0,90.91,51.01,90.91,0.0
FBS-FBS,Spread,0.5,746,388,347,11,52.79,0.78,49.17,0.4,1.16
FBS-FBS,Spread,1.0,693,367,317,9,53.65,2.43,49.91,3.01,1.86
FBS-FBS,Spread,1.5,633,340,284,9,54.49,4.02,50.56,6.26,1.69
FBS-FBS,Spread,2.0,584,311,264,9,54.09,3.26,50.0,5.19,1.23
FBS-FBS,Spread,2.5,521,276,236,9,53.91,2.91,49.58,5.04,0.56
FBS-FBS,Spread,3.0,470,247,215,8,53.46,2.07,48.9,4.74,-1.29
FBS-FBS,Spread,3.5,414,218,188,8,53.69,2.51,48.83,4.96,-0.73
FBS-FBS,Spread,4.0,359,192,162,5,54.24,3.54,49.03,5.67,0.26
FBS-FBS,Spread,4.5,322,173,144,5,54.57,4.19,49.07,6.91,-0.47
FBS-FBS,Spread,5.0,292,157,130,5,54.7,4.43,48.92,6.87,0.09
FBS-FBS,Spread,5.5,259,143,112,4,56.08,7.06,49.94,8.6,4.13
FBS-FBS,Spread,6.0,234,132,99,3,57.14,9.09,50.7,11.36,4.36
FBS-FBS,Spread,6.5,203,112,89,2,55.72,6.38,48.81,11.03,-4.55
FBS-FBS,Spread,7.0,179,101,76,2,57.06,8.94,49.7,13.35,-2.6
FBS-FBS,Spread,7.5,147,83,63,1,56.85,8.53,48.74,14.2,-10.16
FBS-FBS,Spread,8.0,130,75,54,1,58.14,10.99,49.51,16.45,-7.84
FBS-FBS,Spread,8.5,114,66,47,1,58.41,11.5,49.19,17.48,-13.22
FBS-FBS,Spread,9.0,99,58,41,0,58.59,11.85,48.74,15.91,-10.91
FBS-FBS,Spread,9.5,83,50,33,0,60.24,15.01,49.48,18.06,-18.18
FBS-FBS,Spread,10.0,70,43,27,0,61.43,17.27,49.72,19.32,-4.55
FBS-FBS,Spread,10.5,64,41,23,0,64.06,22.3,51.82,20.91,43.18
FBS-FBS,Spread,11.0,56,36,20,0,64.29,22.73,51.19,18.87,90.91
FBS-FBS,Spread,11.5,49,30,19,0,61.22,16.88,47.25,12.06,90.91
FBS-FBS,Spread,12.0,41,23,18,0,56.1,7.1,41.04,2.8,90.91
FBS-FBS,Over,0.5,437,222,215,0,50.8,-3.02,46.13,-3.09,-2.95
FBS-FBS,Over,1.0,407,209,198,0,51.35,-1.97,46.51,-0.81,-2.87
FBS-FBS,Over,1.5,367,191,176,0,52.04,-0.64,46.94,-2.22,0.63
FBS-FBS,Over,2.0,327,174,153,0,53.21,1.58,47.8,5.64,-1.85
FBS-FBS,Over,2.5,276,146,130,0,52.9,0.99,47.01,6.73,-3.9
FBS-FBS,Over,3.0,235,121,114,0,51.49,-1.7,45.13,4.91,-7.62
FBS-FBS,Over,3.5,206,102,104,0,49.51,-5.47,42.76,-0.57,-9.75
FBS-FBS,Over,4.0,177,87,90,0,49.15,-6.16,41.88,-1.01,-10.51
FBS-FBS,Over,4.5,156,74,82,0,47.44,-9.44,39.76,-7.2,-11.36
FBS-FBS,Over,5.0,130,61,69,0,46.92,-10.42,38.56,-1.47,-18.58
FBS-FBS,Over,5.5,108,49,59,0,45.37,-13.38,36.3,-8.36,-17.71
FBS-FBS,Over,6.0,89,42,47,0,47.19,-9.91,37.15,-6.67,-13.22
FBS-FBS,Over,6.5,66,30,36,0,45.45,-13.22,34.02,-13.78,-12.73
FBS-FBS,Over,7.0,47,18,29,0,38.3,-26.89,25.79,-17.0,-36.36
FBS-FBS,Over,7.5,38,16,22,0,42.11,-19.62,27.85,-14.09,-25.76
FBS-FBS,Over,8.0,28,11,17,0,39.29,-25.0,23.57,-18.18,-31.82
FBS-FBS,Over,8.5,24,9,15,0,37.5,-28.41,21.16,-20.45,-36.36
FBS-FBS,Over,9.0,17,6,11,0,35.29,-32.62,17.31,-23.64,-45.45
FBS-FBS,Over,9.5,12,5,7,0,41.67,-20.45,19.33,-18.18,-23.64
FBS-FBS,Over,10.0,10,4,6,0,40.0,-23.64,16.82,-18.18,-36.36
FBS-FBS,Over,10.5,8,4,4,0,50.0,-4.55,21.52,-4.55,-4.55
FBS-FBS,Over,11.0,7,3,4,0,42.86,-18.18,15.82,-4.55,-100.0
FBS-FBS,Over,11.5,6,2,4,0,33.33,-36.36,9.68,-23.64,-100.0
FBS-FBS,Over,12.0,3,1,2,0,33.33,-36.36,6.15,-36.36,0.0
FBS-FBS,Under,0.5,284,165,119,0,58.1,10.92,52.29,15.58,5.91
FBS-FBS,Under,1.0,248,141,107,0,56.85,8.54,50.63,14.84,1.82
FBS-FBS,Under,1.5,219,125,94,0,57.08,8.97,50.46,11.91,5.65
FBS-FBS,Under,2.0,193,110,83,0,56.99,8.81,49.94,9.92,7.64
FBS-FBS,Under,2.5,160,93,67,0,58.12,10.97,50.38,13.64,8.01
FBS-FBS,Under,3.0,125,71,54,0,56.8,8.44,48.04,10.37,6.41
FBS-FBS,Under,3.5,100,60,40,0,60.0,14.55,50.2,10.14,19.32
FBS-FBS,Under,4.0,76,47,29,0,61.84,18.06,50.6,4.55,34.76
FBS-FBS,Under,4.5,65,39,26,0,60.0,14.55,47.86,0.76,31.66
FBS-FBS,Under,5.0,51,32,19,0,62.75,19.79,49.02,9.09,32.81
FBS-FBS,Under,5.5,42,26,16,0,61.9,18.18,46.81,2.8,43.18
FBS-FBS,Under,6.0,32,19,13,0,59.38,13.35,42.26,-4.55,43.18
FBS-FBS,Under,6.5,23,14,9,0,60.87,16.21,40.79,14.55,19.32
FBS-FBS,Under,7.0,17,9,8,0,52.94,1.07,30.96,-4.55,14.55
FBS-FBS,Under,7.5,15,9,6,0,60.0,14.55,35.75,-4.55,90.91
FBS-FBS,Under,8.0,14,8,6,0,57.14,9.09,32.59,-13.22,90.91
FBS-FBS,Under,8.5,11,5,6,0,45.45,-13.22,21.27,-52.27,90.91
FBS-FBS,Under,9.0,10,5,5,0,50.0,-4.55,23.66,-45.45,90.91
FBS-FBS,Under,9.5,8,4,4,0,50.0,-4.55,21.52,-36.36,90.91
FBS-FBS,Under,10.0,6,4,2,0,66.67,27.27,30.0,-4.55,90.91
FBS-FBS,Under,10.5,4,3,1,0,75.0,43.18,30.06,27.27,90.91
FBS-FBS,Under,11.0,4,3,1,0,75.0,43.18,30.06,27.27,90.91
FBS-FBS,Under,11.5,3,2,1,0,66.67,27.27,20.77,27.27,0.0
FBS-FBS,Under,12.0,2,2,0,0,100.0,90.91,34.24,90.91,0.0
